video_id,title,channel,published,category,region,view_count,like_count,comment_count,fetched_at
Rq5LyXG8m2U,Superman | Superman Day - Behind The Scenes Look,DC,2025-04-18T16:01:23+00:00,1,US,1764591,80502,5305,2025-04-20T19:00:01.338769+00:00
NCOHOZMRM1Q,I Ain't Comin' Back,Morgan Wallen - Topic,2025-04-17T10:00:41+00:00,10,US,330280,16087,185,2025-04-20T19:00:01.338771+00:00
SXnFASFePu0,HOPSCOTCH,Nettspend,2025-04-18T23:14:27+00:00,10,US,198859,19532,2605,2025-04-20T19:00:01.338772+00:00
0nF3FUwhVOw,Yeat - The Bell (Real Lyfe Shit),Yeat Music,2025-04-18T16:00:01+00:00,10,US,787951,75948,5044,2025-04-20T19:00:01.338774+00:00
4eBIUoUVMR4,Morgan Wallen - I Ain't Comin' Back (feat. Post Malone) (Lyric Video),Morgan Wallen,2025-04-18T04:00:17+00:00,10,US,410959,16952,1873,2025-04-20T19:00:01.338775+00:00
RmJsk0_Gt5E,Marilyn Manson - In The Air Tonight,Marilyn Manson,2025-04-18T13:59:00+00:00,10,US,392957,30691,0,2025-04-20T19:00:01.338777+00:00
wPbadzxMrXs,Jarahn - Kik Osem Kava (Audio),Jarahn,2025-04-10T12:00:31+00:00,10,US,64187,1388,247,2025-04-20T19:00:01.338778+00:00
XdFpzaM07i0,Addison Rae - Headphones On (Official Video),AddisonRaeVEVO,2025-04-18T04:00:06+00:00,10,US,892996,69424,4831,2025-04-20T19:00:01.338780+00:00
2iYITT3xS5A,"Mozzy, Polo G - WHO WANT WAR (Official Video)",MozzyVEVO,2025-04-18T17:00:06+00:00,10,US,332847,17642,864,2025-04-20T19:00:01.338781+00:00
MIR-Ktf9gno,INFLUENCERS PICK MY MAKEUP ROUTINE!,James Charles,2025-04-18T19:21:04+00:00,24,US,790243,31855,1898,2025-04-20T19:00:01.338783+00:00
2vnbxNgHW1Y,"COACHELLA, I'M BACK!",emma chamberlain,2025-04-18T16:03:24+00:00,24,US,670522,38463,1560,2025-04-20T19:00:01.338785+00:00
bxlzbJPvwK8,"We Joined the Crumbl Cookie Fandom for 1 month *many sugar, many pain*",More Mia Maples,2025-04-18T18:00:39+00:00,26,US,449065,24172,1223,2025-04-20T19:00:01.338786+00:00
1Yuiuyqim1U,Blox Fruits ALL Changes in Gravity Update,MeEnyu,2025-04-18T08:19:51+00:00,20,US,1826723,34448,5573,2025-04-20T19:00:01.338788+00:00
Fv2Y1odMjvE,The Weeknd - Drive (Official Music Video),TheWeekndVEVO,2025-04-18T14:00:21+00:00,10,US,2926756,137756,6286,2025-04-20T19:00:01.338790+00:00
lmBm1ATl2m8,Qualifying Highlights | 2025 Saudi Arabian Grand Prix,FORMULA 1,2025-04-19T19:06:01+00:00,17,US,4292508,99483,4339,2025-04-20T19:00:01.338791+00:00
MfPI3AWgV_0,Our Wedding Outfit Reveal!!,Bryton Myler,2025-04-18T12:45:02+00:00,24,US,598094,11444,1715,2025-04-20T19:00:01.338793+00:00
7qMnRmNn3s0,The Pottstown Scout Team RETURNS For 2025 With An INSANE New Roster!,CS99TV,2025-04-18T00:23:29+00:00,24,US,388433,13172,6240,2025-04-20T19:00:01.338795+00:00
0S6PUCm9Vhw,I Tested CHEAP vs EXPENSIVE Beauty Products,Hang with Hopescope,2025-04-17T14:30:03+00:00,26,US,907134,23465,1314,2025-04-20T19:00:01.338796+00:00
4Q4nDw1D8kg,The New Mike Tyson? Moses Itauma — A Teen Prodigy with Brutal Power!  ...He’s Just Getting Started!,History of Boxing EN,2025-04-11T23:15:33+00:00,17,US,4244781,40073,5557,2025-04-20T19:00:01.338798+00:00
